1000/03 Inventarisnummer,Rechtenverklaring object,Rechtenverklaring data,Persistente URI,Kunstenaarsnaam_NL_VerbeterdeVersie,1000/04 Titel_NL,1000/06 Soort - Verwoording,1000/07 AfmetingenNL,1000/08 Materialen en technieken - Verwoording,2000/01 Datum,2000/02 Toewijzing - Verwoording,2000/04 Achternaam_NL,2000/04 Achternaam 3,2000/04 Achternaam 4,2000/05 Voornaam,2000/08 Geboortedatum,2000/09 Datum overlijden,2000/13 Opmerking toewijzing,2300/02 Terminus ante quem,2300/03 Terminus post quem
10885,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/10885,Frankrijk?,Gekruisigde Christus,statuette,"30,7 x 8,5 x 5,5","hout, hout (notenhout), verf",,?,Frankrijk,,,,1501,1520,,1501,1520
10884,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/10884,"Zuid-Nederlandse school, Antwerpen",De graflegging,retabel (deel van),"24 x 44 x 8,7","hout, hout (eik)",,,"Zuid-Nederlandse school, Antwerpen",,,,,,,1520,1525
10890,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/10890,Zuidelijke Nederlanden,Lavaboketel,gebruiksvoorwerp,Hoogte : 18,"metaal, brons",,,Zuidelijke Nederlanden,,,,,,,1401,1500
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
10891,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/10891,Zuidelijke Nederlanden?,Grapen,gebruiksvoorwerp,Hoogte : 27 ,,,,,,,,,,,,
10892,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/10892,Frankrijk,Ketel,gebruiksvoorwerp,"Hoogte : 19,5","metaal, brons",,,,,,,,,,,
10893,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/10893,Zuidelijke Nederlanden,Vijzel,gebruiksvoorwerp,"Hoogte : 20,5","metaal, brons",,,Zuidelijke Nederlanden,,,,,,,1551,1600
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
10896,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/10896,Zuidelijke Nederlanden,Pinkandelaar met drie lichtarmen,gebruiksvoorwerp,"Hoogte : 43,5","metaal, messing",,,Zuidelijke Nederlanden,,,,,,,1401,1500
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
10897,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/10897,Zuidelijke Nederlanden,Huiskandelaar,gebruiksvoorwerp,"Hoogte : 20,7","metaal, brons",,,Zuidelijke Nederlanden,,,,,,,1401,1500
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
10898,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/10898,Zuidelijke Nederlanden,Huiskandelaar,gebruiksvoorwerp,"Hoogte : 25,5","metaal, brons",,,Zuidelijke Nederlanden,,,,,,,1401,1500
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
10899,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/10899,Zuidelijke Nederlanden,Huiskandelaar,gebruiksvoorwerp,"Hoogte : 25,5","metaal, brons",,,Zuidelijke Nederlanden,,,,,,,1401,1500
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
10900,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/10900,Zuidelijke Nederlanden?,Huiskandelaar,gebruiksvoorwerp,"Hoogte : 14,7","metaal, messing",,?,Zuidelijke Nederlanden,,,,,,,1401,1500
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
10901,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/10901,Zuidelijke Nederlanden,Paar huiskandelaars,gebruiksvoorwerp,Hoogte : 21,"metaal, brons",,,Zuidelijke Nederlanden,,,,,,,1501,1600
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
10906,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/10906,Duitsland?,Twee olielampen,gebruiksvoorwerp,"Hoogte : 61,5 en 65,5","metaal, brons",,?,Duitsland,,,,,,,1501,1600
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
10928,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/10928,Annaberg,Kruik,steengoed,Hoogte : 15 ,"glazuur, steengoed",,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,keramiek,,,,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,gebruiksvoorwerp,,,,,,,,,,,,,
10929,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/10929,Annaberg,Pul,gebruiksvoorwerp,"Hoogte : 15,7","metaal, tin, glazuur, steengoed",,,Annaberg,,,,1630,1670,,1630,1670
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,steengoed,,,,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,keramiek,,,,,,,,,,,,,
10930,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/10930,Annaberg,Kruik,gebruiksvoorwerp,"Hoogte : 20,5","metaal, tin, glazuur, steengoed",,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,steengoed,,,,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,keramiek,,,,,,,,,,,,,
10931,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/10931,Annaberg,Kruik,gebruiksvoorwerp,"Hoogte : 27,5","metaal, tin, glazuur, steengoed",,,Annaberg,,,,1630,1670,,1630,1670
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,steengoed,,,,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,keramiek,,,,,,,,,,,,,
10932,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/10932,Annaberg,Pul,gebruiksvoorwerp,"Hoogte : 17,4","metaal, tin, glazuur, steengoed",,,Annaberg,,,,,,,1675,1685
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,steengoed,,,,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,keramiek,,,,,,,,,,,,,
10914,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/10914,Raeren,Kruik,gebruiksvoorwerp,"Hoogte : 24,5","metaal, zilver, verguldsel, glazuur, steengoed",,,,,,,,,,,
